a,b,c,d,e
D.K. ENTERPRISES GLOBAL LIMITED,,DKEGL,PACKAGING,https://halalstock.in/is-d-k-enterprises-global-limited-halal-and-shariah-compliant/
DABUR INDIA LTD.,DABUR,DABUR,Personal Care - Indian,https://halalstock.in/is-dabur-india-ltd-halal-and-shariah-compliant/
DAI-ICHI KARKARIA LTD.,DAICHI,,Chemicals,https://halalstock.in/is-dai-ichi-karkaria-ltd-halal-and-shariah-compliant/
DAIKAFFIL CHEMICALS INDIA LTD.,DAIKAFFI,,Dyes And Pigments,https://halalstock.in/is-daikaffil-chemicals-india-ltd-halal-and-shariah-compliant/
DALMIA BHARAT LTD,DALBHARAT,DALBHARAT,Cement - South India,https://halalstock.in/is-dalmia-bharat-ltd-halal-and-shariah-compliant/
DANGEE DUMS,,DANGEE,Food - Processing - Indian,https://halalstock.in/is-dangee-dums-halal-and-shariah-compliant/
DANISH POWER LIMITED,,DANISH,Heavy Electrical Equipment,https://halalstock.in/is-danish-power-limited-halal-and-shariah-compliant/
DANLAW TECHNOLOGIES INDIA LTD.,DANLAW,,Computers - Software - Converts,https://halalstock.in/is-danlaw-technologies-india-ltd-halal-and-shariah-compliant/
DAPS Advertising Ltd,DAPS,,Advertising &amp; Media Agencies,https://halalstock.in/is-daps-advertising-ltd-halal-and-shariah-compliant/
DARJEELING ROPEWAY COMPANY LTD,DARJEELING,,Finance &amp; Investments,https://halalstock.in/is-darjeeling-ropeway-company-ltd-halal-and-shariah-compliant/
DARSHAN ORNA LTD,DARSHANORNA,,Diamond Cutting / Jewellery,https://halalstock.in/is-darshan-orna-ltd-halal-and-shariah-compliant/
Data Patterns (India) Ltd,DATAPATTNS,DATAPATTNS,Defence,https://halalstock.in/is-data-patterns-india-ltd-halal-and-shariah-compliant/
DATAMATICS GLOBAL SERVICES LTD.,DATAMATICS,DATAMATICS,Computers - Software - Medium / Small,https://halalstock.in/is-datamatics-global-services-ltd-halal-and-shariah-compliant/
Davangere Sugar,DAVANGERE,DAVANGERE,Sugar,https://halalstock.in/is-davangere-sugar-halal-and-shariah-compliant/
Davin Sons Retail Ltd,DAVIN,,Garments &amp; Apparels,https://halalstock.in/is-davin-sons-retail-ltd-halal-and-shariah-compliant/
DC INFOTECH,,DCI,Trading,https://halalstock.in/is-dc-infotech-halal-and-shariah-compliant/
DCG CABLES &amp; WIRES LIMITED,,DCG,Cables - Electricals,https://halalstock.in/is-dcg-cables-wires-limited-halal-and-shariah-compliant/
DCM LTD.,DCM,DCM,Castings &amp; Forgings,https://halalstock.in/is-dcm-ltd-halal-and-shariah-compliant/
DCM NOUVELLE LTD,DCMNVL,DCMNVL,Textiles - Cotton/Blended,https://halalstock.in/is-dcm-nouvelle-ltd-halal-and-shariah-compliant/
DCM SHRIRAM LIMITED,DCMSHRIRAM,DCMSHRIRAM,Diversified - Mega,https://halalstock.in/is-dcm-shriram-limited-halal-and-shariah-compliant/
DCW LTD.,DCW,DCW,Petrochemicals,https://halalstock.in/is-dcw-ltd-halal-and-shariah-compliant/
Ddev Plastiks Industries Ltd,DDEVPLASTIK,,Specialty Chemicals,https://halalstock.in/is-ddev-plastiks-industries-ltd-halal-and-shariah-compliant/
De Neers Tools Ltd,,DENEERS,Iron &amp; Steel Products,https://halalstock.in/is-de-neers-tools-ltd-halal-and-shariah-compliant/
DE NORA INDIA LTD.,DENORA,DENORA,Engineering,https://halalstock.in/is-de-nora-india-ltd-halal-and-shariah-compliant/
Debock Industries Limited,,DIL,Capital Goods,https://halalstock.in/is-debock-industries-limited-halal-and-shariah-compliant/
DECCAN CEMENTS LTD.,DECCANCE,DECCANCE,Cement - South India,https://halalstock.in/is-deccan-cements-ltd-halal-and-shariah-compliant/
DECCAN GOLD MINES LTD.,DECNGOLD,,Mining / Minerals / Metals,https://halalstock.in/is-deccan-gold-mines-ltd-halal-and-shariah-compliant/
DECCAN HEALTH CARE LTD,DECCAN,,Food - Processing - Indian,https://halalstock.in/is-deccan-health-care-ltd-halal-and-shariah-compliant/
DECIPHER LABS LTD,DECIPHER,,Pharmaceuticals - Indian - Formulations,https://halalstock.in/is-decipher-labs-ltd-halal-and-shariah-compliant/
DEE DEVELOPMENT ENGINEERS LIMITED,DEEDEV,DEEDEV,Industrial Products,https://halalstock.in/is-dee-development-engineers-limited-halal-and-shariah-compliant/
DEEP ENERGY RESOURCES LTD,DEEPENR,DEEPENR,Miscellaneous,https://halalstock.in/is-deep-energy-resources-ltd-halal-and-shariah-compliant/
DEEP INDUSTRIES LTD,DEEPIND,DEEPINDS,Miscellaneous,https://halalstock.in/is-deep-industries-ltd-halal-and-shariah-compliant/
DEEP POLYMERS LTD,DEEP,,Plastics Products,https://halalstock.in/is-deep-polymers-ltd-halal-and-shariah-compliant/
Deepak Builders &amp; Engineers India Limited,DBEIL,DBEIL,Civil Construction,https://halalstock.in/is-deepak-builders-engineers-india-limited-halal-and-shariah-compliant/
Deepak Chemtex Ltd,DEEPAKCHEM,,Specialty Chemicals,https://halalstock.in/is-deepak-chemtex-ltd-halal-and-shariah-compliant/
DEEPAK NITRITE LTD.,DEEPAKNI,DEEPAKNTR,Chemicals,https://halalstock.in/is-deepak-nitrite-ltd-halal-and-shariah-compliant/
DEEPAK SPINNERS LTD.,DEEPAKSP,,Textiles - Spinning - Synthetic / Blended,https://halalstock.in/is-deepak-spinners-ltd-halal-and-shariah-compliant/
Delaplex,,DELAPLEX,Computers - Software - Medium / Small,https://halalstock.in/is-delaplex-halal-and-shariah-compliant/
Delhivery Limited,DELHIVERY,DELHIVERY,Services,https://halalstock.in/is-delhivery-limited-halal-and-shariah-compliant/
Delta Autocorp Limited,,DELTIC,2/3 Wheelers,https://halalstock.in/is-delta-autocorp-limited-halal-and-shariah-compliant/
DELTA MANUFACTURING LTD,DELTAMAGNT,DELTAMAGNT,Electronics - Components,https://halalstock.in/is-delta-manufacturing-ltd-halal-and-shariah-compliant/
DENIS CHEM LAB LTD,DENISCHEM,,Pharmaceuticals - Indian - Bulk Drugs,https://halalstock.in/is-denis-chem-lab-ltd-halal-and-shariah-compliant/
Denta Water and Infra Solutions Limited,DENTA,DENTA,Water Supply &amp; Management,https://halalstock.in/is-denta-water-and-infra-solutions-limited-halal-and-shariah-compliant/
Desco Infratech Ltd,DESCO,,Civil Construction,https://halalstock.in/is-desco-infratech-ltd-halal-and-shariah-compliant/
Destiny Logistic,,DESTINY,Construction,https://halalstock.in/is-destiny-logistic-halal-and-shariah-compliant/
DEV INFORMATION,,DEVIT,Computers - Software - Medium / Small,https://halalstock.in/is-dev-information-halal-and-shariah-compliant/
Dev Labtech Venture Ltd,DEVLAB,,"Gems, Jewellery And Watches",https://halalstock.in/is-dev-labtech-venture-ltd-halal-and-shariah-compliant/
DEVINE IMPEX LTD.,DEVINE,,Comm.Trading &amp; Distribution,https://halalstock.in/is-devine-impex-ltd-halal-and-shariah-compliant/
DEVYANI INTERNATIONAL LTD,DEVYANI,DEVYANI,Hotels,https://halalstock.in/is-devyani-international-ltd-halal-and-shariah-compliant/
DFM FOODS LTD.,DFM,,Food - Processing - Indian,https://halalstock.in/is-dfm-foods-ltd-halal-and-shariah-compliant/
DHABRIYA POLYWOOD LTD,DHABRIYA,,Plastics Products,https://halalstock.in/is-dhabriya-polywood-ltd-halal-and-shariah-compliant/
DHAMPURE SPECIALITY SUGARS LTD.,DHAMPURE,,Sugar,https://halalstock.in/is-dhampure-speciality-sugars-ltd-halal-and-shariah-compliant/
DHANALAXMI ROTO SPINNERS LTD.,DHANROTO,,Textiles - Cotton/Blended,https://halalstock.in/is-dhanalaxmi-roto-spinners-ltd-halal-and-shariah-compliant/
Dhanlaxmi Crop Science Limited,,DHALAXMI,Other Agricultural Products,https://halalstock.in/is-dhanlaxmi-crop-science-limited-halal-and-shariah-compliant/
DHANLAXMI FABRICS LTD.,DHANFAB,,Textiles - Processing,https://halalstock.in/is-dhanlaxmi-fabrics-ltd-halal-and-shariah-compliant/
DHANUKA AGRITECH LTD.,DHANUKA,DHANUKA,Pesticides / Agrochemicals - Indian,https://halalstock.in/is-dhanuka-agritech-ltd-halal-and-shariah-compliant/
Dhariwalcorp Limited,,DHARIWAL,Trading - Chemicals,https://halalstock.in/is-dhariwalcorp-limited-halal-and-shariah-compliant/
Dharmaj Crop Guard Ltd,DHARMAJ,DHARMAJ,Pesticides &amp; Agrochemicals,https://halalstock.in/is-dharmaj-crop-guard-ltd-halal-and-shariah-compliant/
Dhillon Freight Carrier Ltd.,DHILLON,,Logistics Solution Provider,https://halalstock.in/is-dhillon-freight-carrier-ltd-halal-and-shariah-compliant/
DHOOT INDUSTRIAL FINANCE LTD.,DHOOTIN,,Trading,https://halalstock.in/is-dhoot-industrial-finance-ltd-halal-and-shariah-compliant/
DHP INDIA LTD.,DHPIND,,Domestic Appliances,https://halalstock.in/is-dhp-india-ltd-halal-and-shariah-compliant/
DHRUV CONSULTANCY SERVICES LTD,DHRUV,DHRUV,Miscellaneous,https://halalstock.in/is-dhruv-consultancy-services-ltd-halal-and-shariah-compliant/
Dhyaani Tradeventtures Ltd,DHYAANITR,,Trading &amp; Distributors,https://halalstock.in/is-dhyaani-tradeventtures-ltd-halal-and-shariah-compliant/
DIAMINES &amp; CHEMICALS LTD.,DIAMINESQ,DIAMINESQ,Chemicals,https://halalstock.in/is-diamines-chemicals-ltd-halal-and-shariah-compliant/
DIAMOND POWER INFRASTRUCTURE LIMITED,DIACABS,DIACABS,Cables - Power,https://halalstock.in/is-diamond-power-infrastructure-limited-halal-and-shariah-compliant/
DIC INDIA LTD.,DICIND,DICIND,Chemicals,https://halalstock.in/is-dic-india-ltd-halal-and-shariah-compliant/
DIENSTEN TECH LIMITED,,DTL,Diversified Commercial Services,https://halalstock.in/is-diensten-tech-limited-halal-and-shariah-compliant/
Diffusion Engineers Limited,DIFFNKG,DIFFNKG,Other Industrial Products,https://halalstock.in/is-diffusion-engineers-limited-halal-and-shariah-compliant/
DIGGI MULTITRADE LTD,DML,,Construction,https://halalstock.in/is-diggi-multitrade-ltd-halal-and-shariah-compliant/
DIGISPICE TECHNOLOGIES LTD,DIGISPICE,DIGISPICE,Telecommunications - Equipment,https://halalstock.in/is-digispice-technologies-ltd-halal-and-shariah-compliant/
Digitide Solutions Limited,DIGITIDE,DIGITIDE,IT Enabled Services,https://halalstock.in/is-digitide-solutions-limited-halal-and-shariah-compliant/
Dindigul Farm Product Ltd,DFPL,,Dairy Products,https://halalstock.in/is-dindigul-farm-product-ltd-halal-and-shariah-compliant/
DISA INDIA LTD.,DISAQ,,Engineering,https://halalstock.in/is-disa-india-ltd-halal-and-shariah-compliant/
Divine Hira Jewellers Ltd,,DIVINEHIRA,Gems Jewellery And Watches,https://halalstock.in/is-divine-hira-jewellers-ltd-halal-and-shariah-compliant/
DIVINE POWER ENERGY LIMITED,,DPEL,Cables - Electricals,https://halalstock.in/is-divine-power-energy-limited-halal-and-shariah-compliant/
DIVI'S LABORATORIES LTD.,DIVISLAB,DIVISLAB,Pharmaceuticals - Indian - Bulk Drugs,https://halalstock.in/is-divis-laboratories-ltd-halal-and-shariah-compliant/
Divyadhan Recycling Industries Limited,,DIVYADHAN,Textiles - Processing,https://halalstock.in/is-divyadhan-recycling-industries-limited-halal-and-shariah-compliant/
DIVYASHAKTI GRANITES LTD.,DIVSHKT,,Miscellaneous,https://halalstock.in/is-divyashakti-granites-ltd-halal-and-shariah-compliant/
DIXON TECHNOLOGIES (INDIA) LTD,DIXON,DIXON,Electronics - Consumer,https://halalstock.in/is-dixon-technologies-india-ltd-halal-and-shariah-compliant/
DJ MEDIAPRINT &amp; LOGISTICS LTD,DJML,DJML,Printing &amp; Stationery,https://halalstock.in/is-dj-mediaprint-logistics-ltd-halal-and-shariah-compliant/
D-LINK (INDIA) LTD,DLINKINDIA,DLINKINDIA,Computers - Hardware,https://halalstock.in/is-d-link-india-ltd-halal-and-shariah-compliant/
DMCC Speciality,DMCC,DMCC,Chemicals,https://halalstock.in/is-dmcc-speciality-halal-and-shariah-compliant/
Docmode Health,,DHTL,Miscellaneous,https://halalstock.in/is-docmode-health-halal-and-shariah-compliant/
DODLA DAIRY LTD,DODLA,DODLA,Food - Processing - Indian,https://halalstock.in/is-dodla-dairy-ltd-halal-and-shariah-compliant/
DOLFIN RUBBERS LTD,DOLFIN,,Tyres,https://halalstock.in/is-dolfin-rubbers-ltd-halal-and-shariah-compliant/
DOLLAR INDUSTRIES LTD,DOLLAR,DOLLAR,Textiles - Products,https://halalstock.in/is-dollar-industries-ltd-halal-and-shariah-compliant/
Dolphin Offshore,DOLPHIN,DOLPHIN,Oil Drilling / Allied Services,https://halalstock.in/is-dolphin-offshore-halal-and-shariah-compliant/
Doms Industries Ltd,DOMS,DOMS,Stationary,https://halalstock.in/is-doms-industries-ltd-halal-and-shariah-compliant/
Dr Agarwal's Health Care Ltd,AGARWALEYE,AGARWALEYE,Hospital,https://halalstock.in/is-dr-agarwals-health-care-ltd-halal-and-shariah-compliant/
DR. LAL PATHLABS LTD,LALPATHLAB,LALPATHLAB,Healthcare,https://halalstock.in/is-dr-lal-pathlabs-ltd-halal-and-shariah-compliant/
DR.AGARWALS EYE HOSPITAL LTD.,DRAGARWQ,,Healthcare,https://halalstock.in/is-dr-agarwals-eye-hospital-ltd-halal-and-shariah-compliant/
DR.REDDY'S LABORATORIES LTD.,DRREDDY,DRREDDY,Pharmaceuticals - Indian - Bulk Drugs &amp; Formln,https://halalstock.in/is-dr-reddys-laboratories-ltd-halal-and-shariah-compliant/
DRA CONSULTANTS LTD,DRA,,Miscellaneous,https://halalstock.in/is-dra-consultants-ltd-halal-and-shariah-compliant/
DRC SYSTEMS INDIA LTD,DRCSYSTEMS,DRCSYSTEMS,Miscellaneous,https://halalstock.in/is-drc-systems-india-ltd-halal-and-shariah-compliant/
Dreamfolks Services Limited,,DREAMFOLKS,Personal Services,https://halalstock.in/is-dreamfolks-services-limited-halal-and-shariah-compliant/
Drone Destinatio,,DRONE,Miscellaneous,https://halalstock.in/is-drone-destinatio-halal-and-shariah-compliant/
Droneacharya Aerial Innovations Ltd,DRONACHRYA,,Diversified Commercial Services,https://halalstock.in/is-droneacharya-aerial-innovations-ltd-halal-and-shariah-compliant/
DRS DILIP ROADLINES LIMITED,,DRSDILIP,Logistics Solution Provider,https://halalstock.in/is-drs-dilip-roadlines-limited-halal-and-shariah-compliant/
DSJ KEEP LEARNING LTD,KEEPLEARN,KEEPLEARN,Entertainment / Electronic Media Software,https://halalstock.in/is-dsj-keep-learning-ltd-halal-and-shariah-compliant/
DSM FRESH FOODS LIMITED,DSM,,Meat Products including Poultry,https://halalstock.in/is-dsm-fresh-foods-limited-halal-and-shariah-compliant/
Ducol Organics &amp; Colours Ltd,,DUCOL,Dyes And Pigments,https://halalstock.in/is-ducol-organics-colours-ltd-halal-and-shariah-compliant/
DUDIGITAL GLOBAL LIMITED,,DUGLOBAL,Services,https://halalstock.in/is-dudigital-global-limited-halal-and-shariah-compliant/
Dugar Housing Developments Ltd,DUGARHOU,,Civil Construction,https://halalstock.in/is-dugar-housing-developments-ltd-halal-and-shariah-compliant/
DUKE OFFSHORE LTD.,DUKEOFS,,Oil Drilling / Allied Services,https://halalstock.in/is-duke-offshore-ltd-halal-and-shariah-compliant/
DUNCAN ENGINEERING LTD,DUNCANENG,,Auto Ancillaries,https://halalstock.in/is-duncan-engineering-ltd-halal-and-shariah-compliant/
DURLAX TOP SURFACE LIMITED,,DURLAX,Furniture Home Furnishing,https://halalstock.in/is-durlax-top-surface-limited-halal-and-shariah-compliant/
DUROPACK LTD.,DUROPACK,,Packaging,https://halalstock.in/is-duropack-ltd-halal-and-shariah-compliant/
DUTRON POLYMERS LTD.,DUTRON,,Plastics Products,https://halalstock.in/is-dutron-polymers-ltd-halal-and-shariah-compliant/
DWARIKESH SUGAR INDUSTRIES LTD.,DWARKESH,DWARKESH,Sugar,https://halalstock.in/is-dwarikesh-sugar-industries-ltd-halal-and-shariah-compliant/
DYNACONS SYSTEMS &amp; SOLUTIONS LTD.,DSSL,DSSL,Computers - Software - Medium / Small,https://halalstock.in/is-dynacons-systems-solutions-ltd-halal-and-shariah-compliant/
DYNAMATIC TECHNOLOGIES LTD.,DYNAMATECH,DYNAMATECH,Engineering,https://halalstock.in/is-dynamatic-technologies-ltd-halal-and-shariah-compliant/
DYNAMIC CABLES LTD,DYNAMIC,DYCL,Cables - Power,https://halalstock.in/is-dynamic-cables-ltd-halal-and-shariah-compliant/
DYNEMIC PRODUCTS LTD.,DYNPRO,DYNPRO,Dyes And Pigments,https://halalstock.in/is-dynemic-products-ltd-halal-and-shariah-compliant/
E Factor Experiences Ltd,,EFACTOR,Other Consumer Services,https://halalstock.in/is-e-factor-experiences-ltd-halal-and-shariah-compliant/
E.I.D.-PARRY (INDIA) LTD.,EIDPARRY,EIDPARRY,Sugar,https://halalstock.in/is-accedere-ltd-halal-and-shariah-compliant/
Earkart Ltd.,EARKART,,Medical Equipment &amp; Supplies,https://halalstock.in/is-earkart-ltd-halal-and-shariah-compliant/
EAST BUILDTECH LTD.,EASTBUILD,,Construction,https://halalstock.in/is-accedere-ltd-halal-and-shariah-compliant/
ECLERX SERVICES LTD.,ECLERX,ECLERX,Computers - Software - Medium / Small,https://halalstock.in/is-accedere-ltd-halal-and-shariah-compliant/
ECO RECYCLING LTD.,ECORECO,,Miscellaneous,https://halalstock.in/is-accedere-ltd-halal-and-shariah-compliant/
ECOBOARD INDUSTRIES LTD.,ECOBOAR,,Miscellaneous,https://halalstock.in/is-ecoboard-industries-ltd-halal-and-shariah-compliant/
Ecoline Exim Limited,,ECOLINE,Packaging,https://halalstock.in/is-ecoline-exim-limited-halal-and-shariah-compliant/
ECOPLAST LTD.,ECOPLAST,,Packaging,https://halalstock.in/is-ecoplast-ltd-halal-and-shariah-compliant/
Ecos (India) Mobility &amp; Hospitality Limited,,ECOSMOBLTY,Road Transport,https://halalstock.in/is-ecos-india-mobility-hospitality-limited-halal-and-shariah-compliant/
ECS BIZTECH LTD,ECS,,Computers - Hardware,https://halalstock.in/is-ecs-biztech-ltd-halal-and-shariah-compliant/
EDYNAMICS SOLUTIONS LTD.,EDSL,,Trading,https://halalstock.in/is-edynamics-solutions-ltd-halal-and-shariah-compliant/
EFFWA INFRA &amp; RESEARCH LIMITED,,EFFWA,Waste Management,https://halalstock.in/is-effwa-infra-research-limited-halal-and-shariah-compliant/
EICHER MOTORS LTD.,EICHERMOT,EICHERMOT,Automobiles - Motorcycles / Mopeds,https://halalstock.in/is-eicher-motors-ltd-halal-and-shariah-compliant/
EIMCO ELECON (INDIA) LTD.,EIMCOELECO,EIMCOELECO,Engineering,https://halalstock.in/is-eimco-elecon-india-ltd-halal-and-shariah-compliant/
Ekennis Software Service Ltd,EKENNIS,,IT Enabled Services,https://halalstock.in/is-ekennis-software-service-ltd-halal-and-shariah-compliant/
EKI ENERGY SERVICES LTD,EKI,,Miscellaneous,https://halalstock.in/is-eki-energy-services-ltd-halal-and-shariah-compliant/
ELANGO INDUSTRIES LTD.,ELANGO,,Mining / Minerals / Metals,https://halalstock.in/is-elango-industries-ltd-halal-and-shariah-compliant/
ELANTAS BECK INDIA LTD.,ELANTAS,,Chemicals,https://halalstock.in/is-elantas-beck-india-ltd-halal-and-shariah-compliant/
ELDECO HOUSING &amp; INDUSTRIES LTD.,ELDEHSG,ELDEHSG,Construction,https://halalstock.in/is-eldeco-housing-industries-ltd-halal-and-shariah-compliant/
ELECON ENGINEERING CO.LTD.,ELECON,ELECON,Engineering,https://halalstock.in/is-elecon-engineering-co-ltd-halal-and-shariah-compliant/
Electro Force (India) Ltd,,EFORCE,Other Electrical Equipment,https://halalstock.in/is-electro-force-india-ltd-halal-and-shariah-compliant/
ELECTROSTEEL CASTINGS LTD.,ELECTCAST,ELECTCAST,Castings &amp; Forgings,https://halalstock.in/is-electrosteel-castings-ltd-halal-and-shariah-compliant/
ELEGANT MARBLES &amp; GRANI INDUSTRIES LTD.,ELEMARB,,Miscellaneous,https://halalstock.in/is-elegant-marbles-grani-industries-ltd-halal-and-shariah-compliant/
Eleganz Interiors Limited,,ELGNZ,Diversified Commercial Services,https://halalstock.in/is-eleganz-interiors-limited-halal-and-shariah-compliant/
ELGI EQUIPMENTS LTD.,ELGIEQUIP,ELGIEQUIP,Compressors / Drilling Equipment,https://halalstock.in/is-elgi-equipments-ltd-halal-and-shariah-compliant/
Elin Electronics Ltd,ELIN,ELIN,Household Appliances,https://halalstock.in/is-elin-electronics-ltd-halal-and-shariah-compliant/
EMA Partners India Limited,,EMAIN,Diversified Commercial Services,https://halalstock.in/is-ema-partners-india-limited-halal-and-shariah-compliant/
EMAMI LTD.,EMAMILTD,EMAMILTD,Personal Care - Indian,https://halalstock.in/is-emami-ltd-halal-and-shariah-compliant/
EMCURE PHARMACEUTICALS LIMITED,EMCURE,EMCURE,Pharmaceuticals,https://halalstock.in/is-emcure-pharmaceuticals-limited-halal-and-shariah-compliant/
EMKAY TAPS &amp; CUT,,EMKAYTOOLS,Engineering,https://halalstock.in/is-emkay-taps-cut-halal-and-shariah-compliant/
Emmforce Autotech Ltd,EMMFORCE,,Auto Components &amp; Equipments,https://halalstock.in/is-emmforce-autotech-ltd-halal-and-shariah-compliant/
Emmvee Photovoltaic Power Limited,EMMVEE,EMMVEE,Other Electrical Equipment,https://halalstock.in/is-emmvee-photovoltaic-power-limited-halal-and-shariah-compliant/
EMPIRE INDUSTRIES LTD.,EMPIND,,Glass &amp; Glass Products,https://halalstock.in/is-empire-industries-ltd-halal-and-shariah-compliant/
EMPOWER INDIA LTD.,EMPOWER,,Trading,https://halalstock.in/is-empower-india-ltd-halal-and-shariah-compliant/
EMS Ltd,EMSLIMITED,EMSLIMITED,Water Supply &amp; Management,https://halalstock.in/is-ems-ltd-halal-and-shariah-compliant/
eMudhra Ltd,EMUDHRA,EMUDHRA,IT Enabled Services,https://halalstock.in/is-emudhra-ltd-halal-and-shariah-compliant/
Encode Packaging India Ltd,ENCODE,,Print Media,https://halalstock.in/is-encode-packaging-india-ltd-halal-and-shariah-compliant/
ENDURANCE TECHNOLOGIES LTD,ENDURANCE,ENDURANCE,Auto Ancillaries,https://halalstock.in/is-endurance-technologies-ltd-halal-and-shariah-compliant/
Enfuse Solutions Ltd,,ENFUSE,IT Enabled Services,https://halalstock.in/is-enfuse-solutions-ltd-halal-and-shariah-compliant/
ENGINEERS INDIA LTD.,ENGINERSIN,ENGINERSIN,Engineering - Turnkey Services,https://halalstock.in/is-engineers-india-ltd-halal-and-shariah-compliant/
ENKEI WHEELS (INDIA) LTD.,ENKEIWHEL,,Auto Ancillaries,https://halalstock.in/is-enkei-wheels-india-ltd-halal-and-shariah-compliant/
Enser Communications Ltd,,ENSER,IT Enabled Services,https://halalstock.in/is-enser-communications-ltd-halal-and-shariah-compliant/
Entero Healthcare Solution Ltd,ENTERO,ENTERO,Pharmacy Retail,https://halalstock.in/is-entero-healthcare-solution-ltd-halal-and-shariah-compliant/
Enviro Infra Engineers Limited,EIEL,EIEL,Water Supply &amp; Management,https://halalstock.in/is-enviro-infra-engineers-limited-halal-and-shariah-compliant/
Envirotech Systems Limited,,ENVIRO,Other Industrial Products,https://halalstock.in/is-envirotech-systems-limited-halal-and-shariah-compliant/
Epack Durable,EPACK,EPACK,Air-conditioners,https://halalstock.in/is-epack-durable-halal-and-shariah-compliant/
EPack Prefab Technologies Limited,EPACKPEB,EPACKPEB,Industrial Products,https://halalstock.in/is-epack-prefab-technologies-limited-halal-and-shariah-compliant/
EPIC ENERGY LTD.,EPIC,,Electric Equipment,https://halalstock.in/is-epic-energy-ltd-halal-and-shariah-compliant/
Epigral Ltd,MFL,EPIGRAL,Chlor Alkali / Soda Ash,https://halalstock.in/is-epigral-ltd-halal-and-shariah-compliant/
EPL LTD,EPL,EPL,Packaging,https://halalstock.in/is-epl-ltd-halal-and-shariah-compliant/
Eppeltone Engineers Ltd,,EEPL,Other Electrical Equipment,https://halalstock.in/is-eppeltone-engineers-ltd-halal-and-shariah-compliant/
Equinox India Developments Limited,EMBDL,EMBDL,Construction,https://halalstock.in/is-equinox-india-developments-limited-halal-and-shariah-compliant/
Equippp Social Impact Technologies Limited,,EQUIPPP,Base Material,https://halalstock.in/is-equippp-social-impact-technologies-limited-halal-and-shariah-compliant/
ERIS LIFESCIENCES LTD,ERIS,ERIS,Pharmaceuticals - Indian - Formulations,https://halalstock.in/is-eris-lifesciences-ltd-halal-and-shariah-compliant/
ESAB INDIA LTD.,ESABINDIA,ESABINDIA,Electrodes - Welding Equipment,https://halalstock.in/is-esab-india-ltd-halal-and-shariah-compliant/
Esconet Technologies Ltd,,ESCONET,Computers Hardware &amp; Equipments,https://halalstock.in/is-esconet-technologies-ltd-halal-and-shariah-compliant/
ESCORTS LTD.,ESCORTS,ESCORTS,Automobiles - Tractors,https://halalstock.in/is-escorts-ltd-halal-and-shariah-compliant/
Esprit Stones Limited,,ESPRIT,Miscellaneous,https://halalstock.in/is-esprit-stones-limited-halal-and-shariah-compliant/
Essen Speciality Films Ltd,,ESFL,Plastic Products - Consumer,https://halalstock.in/is-essen-speciality-films-ltd-halal-and-shariah-compliant/
Eternal Ltd,ETERNAL,ETERNAL,Miscellaneous,https://halalstock.in/is-eternal-ltd-halal-and-shariah-compliant/
Ethos Ltd,ETHOSLTD,ETHOSLTD,"Gems, Jewellery And Watches",https://halalstock.in/is-ethos-ltd-halal-and-shariah-compliant/
Eureka Forbes Limited,EUREKAFORB,EUREKAFORB,Household Appliances,https://halalstock.in/is-eureka-forbes-limited-halal-and-shariah-compliant/
EUREKA INDUSTRIES LTD,EUREKAI,,Other Textile Products,https://halalstock.in/is-eureka-industries-ltd-halal-and-shariah-compliant/
EURO INDIA FRESH,,EIFFL,Food - Processing - Indian,https://halalstock.in/is-euro-india-fresh-halal-and-shariah-compliant/
Euro Panel Products Limited,,EUROBOND,Consumer / Cyclical,https://halalstock.in/is-euro-panel-products-limited-halal-and-shariah-compliant/
Euro Pratik Sales,EUROPRATIK,EUROPRATIK,"Furniture, Home Furnishing",https://halalstock.in/is-euro-pratik-sales-halal-and-shariah-compliant/
EVEREADY INDUSTRIES INDIA LTD.,EVEREADY,EVEREADY,Dry Cells,https://halalstock.in/is-eveready-industries-india-ltd-halal-and-shariah-compliant/
EVEREST INDUSTRIES LTD.,EVERESTIND,EVERESTIND,Cement Products,https://halalstock.in/is-everest-industries-ltd-halal-and-shariah-compliant/
EVEREST KANTO CYLINDER LTD.,EKC,EKC,Packaging,https://halalstock.in/is-everest-kanto-cylinder-ltd-halal-and-shariah-compliant/
EVEREST ORGANICS LTD.,EVERESTO,,Pharmaceuticals - Indian - Bulk Drugs,https://halalstock.in/is-everest-organics-ltd-halal-and-shariah-compliant/
EXCEL INDUSTRIES LTD.,EXCELINDUS,EXCELINDUS,Chemicals,https://halalstock.in/is-excel-industries-ltd-halal-and-shariah-compliant/
Excellent Wires and Packaging Limited,,EXCELLENT,Other Industrial Products,https://halalstock.in/is-excellent-wires-and-packaging-limited-halal-and-shariah-compliant/
Excelsoft Technologies Limited,EXCELSOFT,EXCELSOFT,IT Enabled Services,https://halalstock.in/is-excelsoft-technologies-limited-halal-and-shariah-compliant/
Exhicon Events Media Solutions Ltd,EXHICON,,Other Consumer Services,https://halalstock.in/is-exhicon-events-media-solutions-ltd-halal-and-shariah-compliant/
Exicom Tele-Systems Ltd,EXICOM,EXICOM,Heavy Electrical Equipment,https://halalstock.in/is-exicom-tele-systems-ltd-halal-and-shariah-compliant/
EXIDE INDUSTRIES LTD.,EXIDEIND,EXIDEIND,Auto Ancillaries,https://halalstock.in/is-exide-industries-ltd-halal-and-shariah-compliant/
